'32000123;4.8;5.25;2.2;0;0;0;7.25;7.75;8
'32000124;5.8;5.75;4.8;0;0;0;7.5;7.75;8.5
'32000125;6.4;5.25;0;0;0;0;6.25;6.75;0
'32000126;5;8;2.4;0;0;0;5.75;8.25;8.25
'32000127;7;7.5;4;0;0;0;4.25;7;9.25
'32000128;8.4;0;0;0;8.25;7;0;0;0
'32000129;7.8;7.75;6.8;0;0;0;4.5;6.75;8
'32000130;8.2;7.5;7.6;8.25;6;4;0;0;0
'32000131;4;5.5;1.8;0;0;0;2.5;4.5;8.5
'32000132;3;4.75;2.2;0;0;0;2.75;2.75;6.75
'32000133;4.4;5.25;0;0;0;0;3.25;5.25;0
'32000134;7.2;8;3.4;0;0;0;4;6.75;8.75
'32000135;6.4;6;3.4;0;0;0;4.5;7;9.25
'32000136;8.8;5.75;3.6;5;8;8;0;0;0
'32000137;6.8;8.25;4.8;0;0;0;7.75;9;8
'32000138;4.2;5.75;3.4;0;0;0;5.25;6.75;8.5
'32000139;3;4.75;2.6;0;0;0;2.25;4;3.75
'32000140;3.2;5.75;3.2;0;0;0;3.75;6.5;8.5
'32000141;7;4.75;3;0;0;0;4.5;5.5;5.25
'32000142;3.8;5.25;2.2;0;0;0;3;4.75;8
'32000143;7.4;7.75;4.2;0;0;0;5.5;8.25;8.75
'32000144;8.6;6.75;4.4;8.25;8;6;0;0;0
'32000145;8.6;6.75;5.8;7.75;4.25;5.75;0;0;0
'32000146;7.4;0;0;8.25;7.25;0;0;0;0
'32000147;6;6.75;2.2;0;0;0;4;7.25;8
'32000148;6.8;7.25;3;0;0;0;4.25;7.25;8.5
'32000149;8.8;8.25;6.6;0;0;0;5.25;7.75;9
'32000150;7.8;6;3.4;7.5;6.75;5;0;0;0
'32000151;6.8;8.25;5;2.75;5.75;6.75;0;0;0
'32000152;7.4;6.5;3.4;7;7.75;4.75;0;0;0
'32000153;8.2;6.5;1.4;6.5;6;3.75;0;0;0
'32000154;8.6;0;0;7.25;9;0;0;0;0
'32000155;3.2;4.25;3.4;0;0;0;3;4.75;9.25
'32000156;5.4;5.5;1.6;0;0;0;4.25;6.25;9
'32000157;1.8;4;2;0;0;0;4.25;5.5;6.25
'32000158;9;6.5;3.4;8.5;8.25;2.75;0;0;0
'32000159;4.6;6;0;0;0;0;4;7.75;0
'32000160;8.6;6.5;2.4;7.25;7.5;3.5;0;0;0
'32000161;8.8;6.75;3.4;7.75;8;4.75;0;0;0
'32000162;7;0;0;6.5;7.5;0;0;0;0
'32000163;4.4;6;2.6;0;0;0;2.5;6.75;7.75
'32000164;5.6;5.75;2;0;0;0;4;6.5;7.5
'32000165;4.6;4.25;0;0;0;0;4.25;5;0
'32000166;6.2;5.25;2.4;0;0;0;3.5;6;9
'32000167;3.8;6.75;3;0;0;0;9.25;7.75;9.25
'32000168;3.8;5;1.2;0;0;0;5.5;5.75;7.25
'32000169;7.6;5.75;2.4;0;0;0;6;6.75;8.5
'32000170;9.2;0;0;8.5;7.25;0;0;0;0
'32000171;6.2;5.5;2.8;0;0;0;4.5;5.75;7
'32000172;7.4;5.25;3.2;7;7.75;5.5;0;0;0
'32000173;6.2;6.75;3;0;0;0;6.75;6.25;7.75
'32000174;7.2;6;4.6;0;0;0;6.75;7.5;9.5
'32000175;3.4;5.75;2.6;0;0;0;2.75;5.25;7.25
'32000176;7.4;5.5;4;7.5;6.75;3.5;0;0;0
'32000177;6.6;6;3.2;6.75;6.75;4;0;0;0
'32000178;9.6;7.75;6.4;7.5;9;9;0;0;0
'32000179;0;7.25;0;0;0;0;9;10;0
'32000180;5;5.5;2.2;0;0;0;3.5;7.25;7.75
'32000181;7;0;0;6.75;6.25;4;0;0;0
'32000182;6.4;5.25;2.2;0;0;0;5.25;6.75;6.75
'32000183;7.4;5.75;3.6;6;5.75;5;0;0;0
'32000184;4.8;4.75;2.6;0;0;0;5.25;6.5;7.75
'32000185;4;5.75;0;0;0;0;4.75;7.25;0
'32000186;8.2;7;4.6;7;8.25;5.5;0;0;0
'32000187;0;0;0;0;0;0;0;0;0
'32000188;8.4;7.25;6.2;6;5.25;5;0;0;0
'32000189;6.8;7;2.2;0;0;0;3.5;7.5;8.5
'32000190;7.8;8.25;3.6;0;0;0;7.5;7.25;9.5
'32000191;6.8;6.25;3.2;0;0;0;3;5.75;6.25
'32000192;7.6;8;5.6;0;0;0;7.25;9;9.5
'32000193;0;7.75;0;0;0;0;9.75;8.75;0
'32000194;6.6;7.25;3.2;0;0;0;6;8;8.75
'32000195;6.2;6;1.2;0;0;0;3.25;7.75;8
'32000196;9;8.25;6.8;7.5;3.25;4.75;0;0;0
'32000197;8.6;0;0;8.25;7.25;0;0;0;0
'32000198;5.2;6.25;2;0;0;0;4;5.5;6.75
'32000199;6.8;8;3.4;0;0;0;4.25;8;8.5
'32000200;5.6;5;4.6;0;0;0;5;6.5;8.5
'32000201;7.2;6.25;4;0;0;0;3.25;6;6.75
'32000202;6.8;7;3.6;0;0;0;5.5;8;8.5
'32000203;6.6;7;3.4;0;0;0;3.25;5.25;7.5
'32000204;8;8.25;6.6;0;0;0;7.75;7.75;9.25
'32000205;4.6;6.75;2.8;0;0;0;4.25;7;8.5
'32000206;4;5.5;2.4;0;0;0;3.25;6.25;6.75
'32000207;7;5.75;4.6;6.5;6.75;5.5;0;0;0
