'11000274;4.8;5.25;2.6;0;0;0;5;8;8.75
'11000275;5.6;4;3.8;0;0;0;6;7.75;9.25
'11000276;3.4;3;0;0;0;0;4;6.75;0
'11000277;5;4;2.8;0;0;0;4.25;7.75;7.5
'11000278;7.2;7;3.8;0;0;0;8.25;8.25;9.25
'11000279;6.2;7;3;0;0;0;6.75;7.75;8.5
'11000280;3.8;5;0;0;0;0;4.75;5.75;0
'11000281;5.4;5;3.2;0;0;0;6;7.25;9
'11000282;6;7.5;2.8;0;0;0;5;7.5;8
'11000283;7.2;5.25;2.6;7.25;6.75;5;0;0;0
'11000284;4.4;6;2.8;0;0;0;4;6;7.75
'11000285;5;7;2.4;0;0;0;4;7.25;8.75
'11000286;6.6;6.5;2.4;5.75;6.75;5.5;0;0;0
'11000287;1.8;4.5;3.2;0;0;0;0;0;0
'11000288;4.6;5.25;5;0;0;0;6.75;7.75;9.5
'11000289;6;8.5;2.8;0;0;0;5.5;7.25;9.5
'11000290;4.2;6.25;2.2;0;0;0;7.25;7.75;8.5
'11000291;5.8;6;3.8;0;0;0;5.5;7;9.25
'11000292;5;5.5;2.6;0;0;0;5.5;7.5;9.5
'11000293;5.2;7;3.8;0;0;0;5.5;7.5;9.75
'11000294;4.8;5.75;2.2;0;0;0;7.25;6.75;8.5
'11000295;4.4;5.25;2;0;0;0;4.25;7;8.5
'11000296;4.4;5;3.8;0;0;0;4.75;7.5;8.25
'11000297;6.4;7.75;3;0;0;0;4;7.25;9.5
'11000298;5.8;8;3.2;0;0;0;5;7;9.25
'11000299;4.4;7;3.2;0;0;0;4.75;5.5;8.75
'11000300;5.4;6.5;2.6;0;0;0;3.5;7.25;9.75
'11000301;5.2;5.5;4.4;0;0;0;6;6.25;8
'11000302;1.8;4.75;3.2;0;0;0;3.5;5.5;0
'11000303;4.6;7;3.6;0;0;0;5.5;6.75;9
'11000304;5.2;7;3.4;0;0;0;4.5;6.5;9
'11000305;4.8;7.5;2.6;0;0;0;4.75;7.5;9.5
'11000306;2.6;4;2.6;0;0;0;5;6;7
'11000307;7.4;7.5;4.4;0;0;0;5.25;8.5;8.75
'11000308;4.2;5.5;2;0;0;0;3.75;6.75;8.25
'11000309;7.2;6.75;3.6;0;0;0;8.25;8.5;9
'11000310;3.4;5.5;1.2;0;0;0;2.25;6.75;9.25
'11000311;4.4;6;1.8;0;0;0;6.25;7.75;9.75
'11000312;6;7.75;3.4;0;0;0;9.25;8.5;9.5
'11000313;2.2;2.5;3.2;0;0;0;3.75;5.75;6.75
'11000314;7.2;7;3.2;0;0;0;5.5;8.25;9
'11000315;4.2;6.25;1.8;0;0;0;3.75;6;8.75
'11000316;3.4;2.75;0;0;0;0;4.25;3.25;0
'11000317;4.6;5.5;3.4;0;0;0;3.75;7;8.5
'11000318;3;3.25;0;0;0;0;2.25;2.75;0
'11000319;2.2;5.25;2.6;0;0;0;4;6.5;6.75
'11000320;5.2;5.75;4.6;0;0;0;6.5;7.25;9
'11000321;6.2;7;3;0;0;0;6;7.25;9.25
'11000322;4;7.5;3.8;0;0;0;4;6.75;7.25
'11000323;5;5.75;2.6;0;0;0;5.5;5.75;8.75
'11000324;4;6;3.2;0;0;0;5.5;6.75;7.75
'11000325;8.2;8.25;5;0;0;0;8.75;9;9
'11000326;3.8;5;3.4;0;0;0;4.75;7.5;7.75
'11000327;3.4;6.5;3;0;0;0;4.5;4.5;8
'11000328;3.4;0;2.8;0;0;0;3.75;6.25;0
'11000329;2.8;5.66;0;0;0;0;5;7.5;0
'11000330;2;4.5;2.8;0;0;0;4;6.5;8.25
'11000331;4.6;5.5;2.4;0;0;0;4.75;7;7.5
'11000332;4.4;5;3.6;0;0;0;4.75;6.25;7.5
