No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32002401,8.8,5,2.8,8,8.5,4.5,0,0,0,25.3,19.6,21.8,16.6
'32002311,9,4.5,6,8,8.25,4.5,0,0,0,25.25,23,21.75,19.5
'32001147,8.2,5.75,3.4,8.75,8.25,4.25,0,0,0,25.2,20.35,20.7,17.35
'32000347,8.2,7.25,6,8.25,8.75,4.25,0,0,0,25.2,22.45,21.2,21.45
'32001847,9.2,6,4.2,8,8,5.5,0,0,0,25.2,21.4,22.7,19.4
'32002674,9.2,6.75,4.8,7.75,8.25,6.25,0,0,0,25.2,21.75,23.7,20.75
'32000665,8.2,7.5,4.4,7.75,9.25,5,0,0,0,25.2,20.35,22.45,20.1
'32000397,9.2,0,0,8,8,0,0,0,0,25.2,17.2,17.2,9.2
'32001731,8.6,7.25,5.6,8,8.5,6.5,0,0,0,25.1,22.2,23.6,21.45
'32001295,8.6,7.75,5.8,7.5,9,6.25,0,0,0,25.1,21.9,23.85,22.15
'32000112,8.6,5,3.4,8,8.5,4.5,0,0,0,25.1,20,21.6,17
'32000805,8.6,4.75,2.6,8.5,8,5.25,0,0,0,25.1,19.7,21.85,15.95
'32000508,8.6,5,2.6,7.5,9,4.25,0,0,0,25.1,18.7,21.85,16.2
'32001410,8.6,7,4.4,8.5,8,5.25,0,0,0,25.1,21.5,21.85,20
'32000885,8.8,5.75,5,7.75,8.5,4.25,0,0,0,25.05,21.55,21.55,19.55
'32000900,8.8,6.75,6,7.75,8.5,5.75,0,0,0,25.05,22.55,23.05,21.55
'32001897,8.8,6.5,7.6,8.75,7.5,4.75,0,0,0,25.05,25.15,21.05,22.9
'32001409,8.8,7.75,3,8.25,8,6.25,0,0,0,25.05,20.05,23.05,19.55
'32002730,8.8,4.5,5.4,8.5,7.75,5,0,0,0,25.05,22.7,21.55,18.7
'32002423,8.8,4.25,5,8.5,7.75,5,0,0,0,25.05,22.3,21.55,18.05
'32000210,8.8,0,0,7.75,8.5,0,0,0,0,25.05,16.55,17.3,8.8
'32002593,8.8,6.75,6.6,8,8.25,5.25,0,0,0,25.05,23.4,22.3,22.15
'32000723,8.8,6.75,3.8,8.5,7.75,6.5,0,0,0,25.05,21.1,23.05,19.35
'32001001,8.8,4.75,2.8,8,8.25,5.25,0,0,0,25.05,19.6,22.3,16.35
'32000889,9,6.25,4.4,8.25,7.75,5.25,0,0,0,25,21.65,22,19.65
'32002238,9,0,0,8,8,0,0,0,0,25,17,17,9
'32002846,9,5.75,3.4,7.75,8.25,5.75,0,0,0,25,20.15,23,18.15
'32001305,8,7,4,7.75,9.25,4.75,0,0,0,25,19.75,22,19
'32002342,9.2,5.5,3.8,8.25,7.5,5,0,0,0,24.95,21.25,21.7,18.5
'32000797,8.2,6.25,4.2,8.5,8.25,6.75,0,0,0,24.95,20.9,23.2,18.65
'32000037,8.2,6,6,8,8.75,8.25,0,0,0,24.95,22.2,25.2,20.2
'32001128,9.2,4.75,3.8,8,7.75,4.5,0,0,0,24.95,21,21.45,17.75
'32002295,8.2,6.5,4.2,8.5,8.25,3.75,0,0,0,24.95,20.9,20.2,18.9
'32000170,9.2,0,0,8.5,7.25,0,0,0,0,24.95,17.7,16.45,9.2
'32000262,8.4,6.5,4.6,7.25,9.25,8.75,0,0,0,24.9,20.25,26.4,19.5
'32000322,8.4,6,4.2,7.75,8.75,5.25,0,0,0,24.9,20.35,22.4,18.6
'32000085,8.6,6,2.6,7.5,8.75,4.75,0,0,0,24.85,18.7,22.1,17.2
'32000807,8.6,6.75,4,7.75,8.5,5.75,0,0,0,24.85,20.35,22.85,19.35
'32000722,8.6,5.75,3.8,8.25,8,6,0,0,0,24.85,20.65,22.6,18.15
'32000144,8.6,6.75,4.4,8.25,8,6,0,0,0,24.85,21.25,22.6,19.75
'32001852,8.6,7,2.8,8,8.25,4,0,0,0,24.85,19.4,20.85,18.4
'32000154,8.6,0,0,7.25,9,0,0,0,0,24.85,15.85,17.6,8.6
