No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32002781,8.4,6,9.6,0,0,0,7.75,7.75,9,8.4,18,8.4,24
'32000019,9,7,8,8,7,6.75,0,0,0,24,25,22.75,24
'32002313,8.8,7,8.2,8,5.5,4.25,0,0,0,22.3,25,18.55,24
'32002567,8.6,5.75,9.6,7.5,7,6.25,0,0,0,23.1,25.7,21.85,23.95
'32000578,8.6,8.75,6.6,0,0,0,6,8.25,8.5,8.6,15.2,8.6,23.95
'32000633,6.4,8.75,8.8,0,0,0,6.25,6.5,8.5,6.4,15.2,6.4,23.95
'32001059,8.8,7.75,7.4,0,0,0,5.75,6.5,7.25,8.8,16.2,8.8,23.95
'32002734,8.8,7.75,7.4,0,0,0,3.75,7.25,7.25,8.8,16.2,8.8,23.95
'32001015,8.6,7.5,7.8,8.25,5,3.5,0,0,0,21.85,24.65,17.1,23.9
'32001412,9.6,7.5,6.8,8.75,9.5,7,0,0,0,27.85,25.15,26.1,23.9
'32001726,9,6.5,8.4,7.75,5.25,6.5,0,0,0,22,25.15,20.75,23.9
'32002404,9,7.5,7.4,8.5,5.25,6.5,0,0,0,22.75,24.9,20.75,23.9
'32002018,9.2,7.25,7.4,9,8.5,7,0,0,0,26.7,25.6,24.7,23.85
'32000713,7.6,8.25,8,7.75,6,6.75,0,0,0,21.35,23.35,20.35,23.85
'32000971,7.2,8.25,8.4,0,0,0,5.75,7.75,9.5,7.2,15.6,7.2,23.85
'32002471,8.8,8,7,6.75,8.5,7.75,0,0,0,24.05,22.55,25.05,23.8
'32002286,8.8,8,7,7.75,5,3.5,0,0,0,21.55,23.55,17.3,23.8
'32000364,8.4,8,7.4,0,0,0,6.75,8.25,9.75,8.4,15.8,8.4,23.8
'32001587,9,8,6.8,0,0,0,4.75,7,7.25,9,15.8,9,23.8
'32002842,7.8,8,8,7,5.5,4.5,0,0,0,20.3,22.8,17.8,23.8
